drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
19113629,932745,,,0.25,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
1560028,1188114,,,0.25,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
43013021,915175,,,0.5,8510,,8576,,01/01/1970,31/12/2099,,drug_strength,0
21113380,798874,,,0.75,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41047782,1150886,,,1,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
1234668,948582,,,1,8576,,8587,,24/08/2023,31/12/2099,,drug_strength,0
21084431,1316354,,,1,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
37496803,1135766,,,1,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
36119632,45775584,,,1,8576,,8587,,28/06/2021,31/12/2099,,drug_strength,0
40162510,1174888,,,1,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
35861385,1734104,,,1.5,8576,,8587,,02/10/2020,31/12/2099,,drug_strength,0
41045452,42898958,,,1.75,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
19073316,19030692,,,250,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
1356169,743196,,,1000,8576,,8587,,04/02/2019,31/12/2099,,drug_strength,0
36887959,532454,,,45800,8510,,8587,,02/08/2018,31/12/2099,,drug_strength,0
19093589,909440,,,280,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
44026555,42904126,,,267,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40888717,43526082,,,75,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
43022359,757688,,,150,8576,,8587,,06/10/2019,31/12/2099,,drug_strength,0
2913329,19036892,,,150,8576,,8587,,30/06/2021,31/12/2099,,drug_strength,0
40224511,1036252,,,300,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
44034094,1728416,,,300000,8510,,8587,,02/08/2018,31/12/2099,,drug_strength,0
939547,939259,,,0.09,8576,,45744809,,01/01/1970,31/12/2099,,drug_strength,0
41025504,42898532,,,0.000187,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
2934842,19098765,,,0.0496,8576,,8576,,30/06/2021,31/12/2099,,drug_strength,0
2073143,19049105,,,0.0603,8576,,8587,,31/07/2020,31/12/2099,,drug_strength,0
42731414,1398039,,,1.07,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42722608,1314924,,,0.517,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
40950994,42904211,,,0.11,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41162706,904351,,,0.078,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
40985410,718583,,,0.0002,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40732451,920458,,,0.000025,8576,,8576,,04/06/2018,31/12/2099,,drug_strength,0
2936765,19052736,,,3.4,8576,,8587,,30/06/2021,31/12/2099,,drug_strength,0
44123088,915391,,,0.075,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
35855189,19049105,,,0.3,8576,,8587,,02/10/2020,31/12/2099,,drug_strength,0
41047883,1790812,,,0.00667,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42729669,19101454,,,0.951,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
42620751,959196,,,0.814,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
36263037,1548195,,,0.00208,8576,,8505,,02/08/2018,31/12/2099,,drug_strength,0
40994626,42904299,,,0.0000001,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41205065,19059405,,,0.0000004,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40919864,19066865,,,0.0000008,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42716451,42900227,,,0.00000000015,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
40919729,1300673,,,0.504,8510,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40721254,42899580,,,0.0094,8576,,8576,,04/06/2018,31/12/2099,,drug_strength,0
43261705,901656,,,0.046,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
43815356,19049105,,,0.0034,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
44189113,19009540,,,0.0136,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
